DAY:             0 DAY             1 DAY             2 DAY             3 DAY             4 DAY             5 DAY             6 DAY             7 DAY             8 DAY              TOTAL               
 134           3991504           3294271           4947732           3965274           5616269           5220495           5970280           3001421           3043777           39051023               
 135           3294271           4947732           3965274           5616269           5220495           5970280           6992925           3043777           3991504           43042527               
 136           4947732           3965274           5616269           5220495           5970280           6992925           6338048           3991504           3294271           46336798               
 137           3965274           5616269           5220495           5970280           6992925           6338048           8939236           3294271           4947732           51284530               
 138           5616269           5220495           5970280           6992925           6338048           8939236           7259545           4947732           3965274           55249804               
 139           5220495           5970280           6992925           6338048           8939236           7259545          10564001           3965274           5616269           60866073               
 140           5970280           6992925           6338048           8939236           7259545          10564001           9185769           5616269           5220495           66086568               
 141           6992925           6338048           8939236           7259545          10564001           9185769          11586549           5220495           5970280           72056848               
 142           6338048           8939236           7259545          10564001           9185769          11586549          12213420           5970280           6992925           79049773               
 143           8939236           7259545          10564001           9185769          11586549          12213420          12308328           6992925           6338048           85387821               
 144           7259545          10564001           9185769          11586549          12213420          12308328          15932161           6338048           8939236           94327057               
 145          10564001           9185769          11586549          12213420          12308328          15932161          13597593           8939236           7259545          101586602               
 146           9185769          11586549          12213420          12308328          15932161          13597593          19503237           7259545          10564001          112150603               
 147          11586549          12213420          12308328          15932161          13597593          19503237          16445314          10564001           9185769          121336372               
 148          12213420          12308328          15932161          13597593          19503237          16445314          22150550           9185769          11586549          132922921               
 149          12308328          15932161          13597593          19503237          16445314          22150550          21399189          11586549          12213420          145136341               
 150          15932161          13597593          19503237          16445314          22150550          21399189          23894877          12213420          12308328          157444669               
 151          13597593          19503237          16445314          22150550          21399189          23894877          28145581          12308328          15932161          173376830               
 152          19503237          16445314          22150550          21399189          23894877          28145581          25905921          15932161          13597593          186974423               
 153          16445314          22150550          21399189          23894877          28145581          25905921          35435398          13597593          19503237          206477660               
 154          22150550          21399189          23894877          28145581          25905921          35435398          30042907          19503237          16445314          222922974               
 155          21399189          23894877          28145581          25905921          35435398          30042907          41653787          16445314          22150550          245073524               
 156          23894877          28145581          25905921          35435398          30042907          41653787          37844503          22150550          21399189          266472713               
 157          28145581          25905921          35435398          30042907          41653787          37844503          46045427          21399189          23894877          290367590               
 158          25905921          35435398          30042907          41653787          37844503          46045427          49544770          23894877          28145581          318513171               
 159          35435398          30042907          41653787          37844503          46045427          49544770          49800798          28145581          25905921          344419092               
 160          30042907          41653787          37844503          46045427          49544770          49800798          63580979          25905921          35435398          379854490               
 161          41653787          37844503          46045427          49544770          49800798          63580979          55948828          35435398          30042907          409897397               
 162          37844503          46045427          49544770          49800798          63580979          55948828          77089185          30042907          41653787          451551184               
 163          46045427          49544770          49800798          63580979          55948828          77089185          67887410          41653787          37844503          489395687               
 164          49544770          49800798          63580979          55948828          77089185          67887410          87699214          37844503          46045427          535441114               
 165          49800798          63580979          55948828          77089185          67887410          87699214          87389273          46045427          49544770          584985884               
 166          63580979          55948828          77089185          67887410          87699214          87389273          95846225          49544770          49800798          634786682               
 167          55948828          77089185          67887410          87699214          87389273          95846225         113125749          49800798          63580979          698367661               
 168          77089185          67887410          87699214          87389273          95846225         113125749         105749626          63580979          55948828          754316489               
 169          67887410          87699214          87389273          95846225         113125749         105749626         140670164          55948828          77089185          831405674               
 170          87699214          87389273          95846225         113125749         105749626         140670164         123836238          77089185          67887410          899293084               
 171          87389273          95846225         113125749         105749626         140670164         123836238         164788399          67887410          87699214          986992298               
 172          95846225         113125749         105749626         140670164         123836238         164788399         155276683          87699214          87389273         1074381571               
 173         113125749         105749626         140670164         123836238         164788399         155276683         183545439          87389273          95846225         1170227796               
 174         105749626         140670164         123836238         164788399         155276683         183545439         200515022          95846225         113125749         1283353545               
 175         140670164         123836238         164788399         155276683         183545439         200515022         201595851         113125749         105749626         1389103171               
 176         123836238         164788399         155276683         183545439         200515022         201595851         253795913         105749626         140670164         1529773335               
 177         164788399         155276683         183545439         200515022         201595851         253795913         229585864         140670164         123836238         1653609573               
 178         155276683         183545439         200515022         201595851         253795913         229585864         305458563         123836238         164788399         1818397972               
 179         183545439         200515022         201595851         253795913         229585864         305458563         279112921         164788399         155276683         1973674655               
 180         200515022         201595851         253795913         229585864         305458563         279112921         348333838         155276683         183545439         2157220094               
 181         201595851         253795913         229585864         305458563         279112921         348333838         355791705         183545439         200515022         2357735116               
 182         253795913         229585864         305458563         279112921         348333838         355791705         385141290         200515022         201595851         2559330967               
 183         229585864         305458563         279112921         348333838         355791705         385141290         454310935         201595851         253795913         2813126880               
 184         305458563         279112921         348333838         355791705         385141290         454310935         431181715         253795913         229585864         3042712744               
 185         279112921         348333838         355791705         385141290         454310935         431181715         559254476         229585864         305458563         3348171307               
 186         348333838         355791705         385141290         454310935         431181715         559254476         508698785         305458563         279112921         3627284228               
 187         355791705         385141290         454310935         431181715         559254476         508698785         653792401         279112921         348333838         3975618066               
 188         385141290         454310935         431181715         559254476         508698785         653792401         634904626         348333838         355791705         4331409771               
 189         454310935         431181715         559254476         508698785         653792401         634904626         733475128         355791705         385141290         4716551061               
 190         431181715         559254476         508698785         653792401         634904626         733475128         810102640         385141290         454310935         5170861996               
 191         559254476         508698785         653792401         634904626         733475128         810102640         816323005         454310935         431181715         5602043711               
 192         508698785         653792401         634904626         733475128         810102640         816323005        1013565411         431181715         559254476         6161298187               
 193         653792401         634904626         733475128         810102640         816323005        1013565411         939880500         559254476         508698785         6669996972               
 194         634904626         733475128         810102640         816323005        1013565411         939880500        1213046877         508698785         653792401         7323789373               
 195         733475128         810102640         816323005        1013565411         939880500        1213046877        1143603411         653792401         634904626         7958693999               
 196         810102640         816323005        1013565411         939880500        1213046877        1143603411        1387267529         634904626         733475128         8692169127               
 197         816323005        1013565411         939880500        1213046877        1143603411        1387267529        1445007266         733475128         810102640         9502271767               
 198        1013565411         939880500        1213046877        1143603411        1387267529        1445007266        1549798133         810102640         816323005        10318594772               
 199         939880500        1213046877        1143603411        1387267529        1445007266        1549798133        1823668051         816323005        1013565411        11332160183               
 200        1213046877        1143603411        1387267529        1445007266        1549798133        1823668051        1756203505        1013565411         939880500        12272040683               
 201        1143603411        1387267529        1445007266        1549798133        1823668051        1756203505        2226612288         939880500        1213046877        13485087560               
 202        1387267529        1445007266        1549798133        1823668051        1756203505        2226612288        2083483911        1213046877        1143603411        14628690971               
 203        1445007266        1549798133        1823668051        1756203505        2226612288        2083483911        2600314406        1143603411        1387267529        16015958500               
 204        1549798133        1823668051        1756203505        2226612288        2083483911        2600314406        2588610677        1387267529        1445007266        17460965766               
 205        1823668051        1756203505        2226612288        2083483911        2600314406        2588610677        2937065662        1445007266        1549798133        19010763899               
 206        1756203505        2226612288        2083483911        2600314406        2588610677        2937065662        3268675317        1549798133        1823668051        20834431950               
 207        2226612288        2083483911        2600314406        2588610677        2937065662        3268675317        3306001638        1823668051        1756203505        22590635455               
 208        2083483911        2600314406        2588610677        2937065662        3268675317        3306001638        4050280339        1756203505        2226612288        24817247743               
 209        2600314406        2588610677        2937065662        3268675317        3306001638        4050280339        3839687416        2226612288        2083483911        26900731654               
 210        2588610677        2937065662        3268675317        3306001638        4050280339        3839687416        4826926694        2083483911        2600314406        29501046060               
 211        2937065662        3268675317        3306001638        4050280339        3839687416        4826926694        4672094588        2600314406        2588610677        32089656737               
 212        3268675317        3306001638        4050280339        3839687416        4826926694        4672094588        5537380068        2588610677        2937065662        35026722399               
 213        3306001638        4050280339        3839687416        4826926694        4672094588        5537380068        5857285994        2937065662        3268675317        38295397716               
 214        4050280339        3839687416        4826926694        4672094588        5537380068        5857285994        6243067300        3268675317        3306001638        41601399354               
 215        3839687416        4826926694        4672094588        5537380068        5857285994        6243067300        7318955656        3306001638        4050280339        45651679693               
 216        4826926694        4672094588        5537380068        5857285994        6243067300        7318955656        7145689054        4050280339        3839687416        49491367109               
 217        4672094588        5537380068        5857285994        6243067300        7318955656        7145689054        8877207033        3839687416        4826926694        54318293803               
 218        5537380068        5857285994        6243067300        7318955656        7145689054        8877207033        8511782004        4826926694        4672094588        58990388391               
 219        5857285994        6243067300        7318955656        7145689054        8877207033        8511782004       10364306762        4672094588        5537380068        64527768459               
 220        6243067300        7318955656        7145689054        8877207033        8511782004       10364306762       10529380582        5537380068        5857285994        70385054453               
 221        7318955656        7145689054        8877207033        8511782004       10364306762       10529380582       11780447368        5857285994        6243067300        76628121753               
 222        7145689054        8877207033        8511782004       10364306762       10529380582       11780447368       13176241650        6243067300        7318955656        83947077409               
 223        8877207033        8511782004       10364306762       10529380582       11780447368       13176241650       13388756354        7318955656        7145689054        91092766463               
 224        8511782004       10364306762       10529380582       11780447368       13176241650       13388756354       16196162689        7145689054        8877207033        99969973496               
 225       10364306762       10529380582       11780447368       13176241650       13388756354       16196162689       15657471058        8877207033        8511782004       108481755500               
 226       10529380582       11780447368       13176241650       13388756354       16196162689       15657471058       19241513795        8511782004       10364306762       118846062262               
 227       11780447368       13176241650       13388756354       16196162689       15657471058       19241513795       19041162586       10364306762       10529380582       129375442844               
 228       13176241650       13388756354       16196162689       15657471058       19241513795       19041162586       22144754130       10529380582       11780447368       141155890212               
 229       13388756354       16196162689       15657471058       19241513795       19041162586       22144754130       23705622232       11780447368       13176241650       154332131862               
 230       16196162689       15657471058       19241513795       19041162586       22144754130       23705622232       25169203722       13176241650       13388756354       167720888216               
 231       15657471058       19241513795       19041162586       22144754130       23705622232       25169203722       29372404339       13388756354       16196162689       183917050905               
 232       19241513795       19041162586       22144754130       23705622232       25169203722       29372404339       29046227412       16196162689       15657471058       199574521963               
 233       19041162586       22144754130       23705622232       25169203722       29372404339       29046227412       35437676484       15657471058       19241513795       218816035758               
 234       22144754130       23705622232       25169203722       29372404339       29046227412       35437676484       34698633644       19241513795       19041162586       237857198344               
 235       23705622232       25169203722       29372404339       29046227412       35437676484       34698633644       41386267925       19041162586       22144754130       260001952474               
 236       25169203722       29372404339       29046227412       35437676484       34698633644       41386267925       42746784818       22144754130       23705622232       283707574706               
 237       29372404339       29046227412       35437676484       34698633644       41386267925       42746784818       47313957852       23705622232       25169203722       308876778428               
 238       29046227412       35437676484       34698633644       41386267925       42746784818       47313957852       53078026571       25169203722       29372404339       338249182767               
 239       35437676484       34698633644       41386267925       42746784818       47313957852       53078026571       54215431134       29372404339       29046227412       367295410179               
 240       34698633644       41386267925       42746784818       47313957852       53078026571       54215431134       64810080823       29046227412       35437676484       402733086663               
 241       41386267925       42746784818       47313957852       53078026571       54215431134       64810080823       63744861056       35437676484       34698633644       437431720307               
 242       42746784818       47313957852       53078026571       54215431134       64810080823       63744861056       76823944409       34698633644       41386267925       478817988232               
 243       47313957852       53078026571       54215431134       64810080823       63744861056       76823944409       77445418462       41386267925       42746784818       521564773050               
 244       53078026571       54215431134       64810080823       63744861056       76823944409       77445418462       88700225777       42746784818       47313957852       568878730902               
 245       54215431134       64810080823       63744861056       76823944409       77445418462       88700225777       95824811389       47313957852       53078026571       621956757473               
 246       64810080823       63744861056       76823944409       77445418462       88700225777       95824811389      101529388986       53078026571       54215431134       676172188607               
 247       63744861056       76823944409       77445418462       88700225777       95824811389      101529388986      117888107394       54215431134       64810080823       740982269430               
 248       76823944409       77445418462       88700225777       95824811389      101529388986      117888107394      117960292190       64810080823       63744861056       804727130486               
 249       77445418462       88700225777       95824811389      101529388986      117888107394      117960292190      141634025232       63744861056       76823944409       881551074895               
 250       88700225777       95824811389      101529388986      117888107394      117960292190      141634025232      141190279518       76823944409       77445418462       958996493357               
 251       95824811389      101529388986      117888107394      117960292190      141634025232      141190279518      165524170186       77445418462       88700225777      1047696719134               
 252      101529388986      117888107394      117960292190      141634025232      141190279518      165524170186      173270229851       88700225777       95824811389      1143521530523               
 253      117888107394      117960292190      141634025232      141190279518      165524170186      173270229851      190229614763       95824811389      101529388986      1245050919509               
 254      117960292190      141634025232      141190279518      165524170186      173270229851      190229614763      213712918783      101529388986      117888107394      1362939026903               
 255      141634025232      141190279518      165524170186      173270229851      190229614763      213712918783      219489681176      117888107394      117960292190      1480899319093               
 256      141190279518      165524170186      173270229851      190229614763      213712918783      219489681176      259522132626      117960292190      141634025232      1622533344325               
